Question,Answer,Category,Difficulty
What is phishing? (Q1033),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is the use of CSS? (Q1034),CSS is used to style and layout web pages.,General,Easy
What is a primary key in a database? (Q1035),A primary key uniquely identifies each record in a table.,General,Easy
What is overfitting in machine learning? (Q1036),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is artificial intelligence? (Q1037),AI is the simulation of human intelligence processes by machines.,General,Easy
What is artificial intelligence? (Q1038),AI is the simulation of human intelligence processes by machines.,General,Easy
Difference between frontend and backend? (Q1039),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is two-factor authentication? (Q1040),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is SQL used for? (Q1041),SQL is used for managing and manipulating relational databases.,Databases,Easy
Explain polymorphism in OOP. (Q1042),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is overfitting in machine learning? (Q1043),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is artificial intelligence? (Q1044),AI is the simulation of human intelligence processes by machines.,General,Easy
What is two-factor authentication? (Q1045),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Difference between supervised and unsupervised learning? (Q1046),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What are data types in programming? (Q1047),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is JavaScript used for? (Q1048),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the use of CSS? (Q1049),CSS is used to style and layout web pages.,General,Easy
What is a variable in programming? (Q1050),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a primary key in a database? (Q1051),A primary key uniquely identifies each record in a table.,General,Easy
What is a primary key in a database? (Q1052),A primary key uniquely identifies each record in a table.,General,Easy
What is machine learning? (Q1053),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is machine learning? (Q1054),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a primary key in a database? (Q1055),A primary key uniquely identifies each record in a table.,General,Easy
Explain normalization in databases. (Q1056),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a brute force attack? (Q1057),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is SQL used for? (Q1058),SQL is used for managing and manipulating relational databases.,Databases,Easy
Explain the concept of encryption. (Q1059),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is HTML? (Q1060),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a neural network? (Q1061),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a neural network? (Q1062),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Difference between supervised and unsupervised learning? (Q1063),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Difference between frontend and backend? (Q1064),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is the difference between a compiler and an interpreter? (Q1065),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
Define a firewall. (Q1066),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is SQL used for? (Q1067),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a web framework? (Q1068),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Difference between supervised and unsupervised learning? (Q1069),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a web framework? (Q1070),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is JavaScript used for? (Q1071),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is SQL used for? (Q1072),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is the use of CSS? (Q1073),CSS is used to style and layout web pages.,General,Easy
What is the difference between a compiler and an interpreter? (Q1074),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is HTML? (Q1075),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain normalization in databases. (Q1076),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a brute force attack? (Q1077),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is HTML? (Q1078),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is the difference between a compiler and an interpreter? (Q1079),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is machine learning? (Q1080),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Explain normalization in databases. (Q1081),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is object-oriented programming? (Q1082),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is JavaScript used for? (Q1083),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is object-oriented programming? (Q1084),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a web framework? (Q1085),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Define a firewall. (Q1086),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Define a firewall. (Q1087),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is phishing? (Q1088),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is the difference between SQL and NoSQL? (Q1089),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a web framework? (Q1090),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is machine learning? (Q1091),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is HTML? (Q1092),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain polymorphism in OOP. (Q1093),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
Explain normalization in databases. (Q1094),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a brute force attack? (Q1095),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is a variable in programming? (Q1096),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is HTML? (Q1097),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a variable in programming? (Q1098),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is SQL used for? (Q1099),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a web framework? (Q1100),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Define a firewall. (Q1101),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Difference between supervised and unsupervised learning? (Q1102),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is two-factor authentication? (Q1103),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Define a firewall. (Q1104),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a neural network? (Q1105),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a neural network? (Q1106),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Define a firewall. (Q1107),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a foreign key? (Q1108),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is phishing? (Q1109),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a foreign key? (Q1110),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is two-factor authentication? (Q1111),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Define a firewall. (Q1112),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is HTML? (Q1113),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is phishing? (Q1114),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a foreign key? (Q1115),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
Explain the concept of recursion. (Q1116),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a variable in programming? (Q1117),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a brute force attack? (Q1118),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is HTML? (Q1119),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is object-oriented programming? (Q1120),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is JavaScript used for? (Q1121),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Define a firewall. (Q1122),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Difference between supervised and unsupervised learning? (Q1123),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is overfitting in machine learning? (Q1124),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the use of CSS? (Q1125),CSS is used to style and layout web pages.,General,Easy
What is SQL used for? (Q1126),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a primary key in a database? (Q1127),A primary key uniquely identifies each record in a table.,General,Easy
What is SQL used for? (Q1128),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is the difference between a compiler and an interpreter? (Q1129),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
Explain the concept of encryption. (Q1130),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is a primary key in a database? (Q1131),A primary key uniquely identifies each record in a table.,General,Easy
What is HTML? (Q1132),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a web framework? (Q1133),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a variable in programming? (Q1134),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is two-factor authentication? (Q1135),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is artificial intelligence? (Q1136),AI is the simulation of human intelligence processes by machines.,General,Easy
What is phishing? (Q1137),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Explain polymorphism in OOP. (Q1138),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
Explain polymorphism in OOP. (Q1139),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
Explain polymorphism in OOP. (Q1140),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is a variable in programming? (Q1141),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is the use of CSS? (Q1142),CSS is used to style and layout web pages.,General,Easy
What is artificial intelligence? (Q1143),AI is the simulation of human intelligence processes by machines.,General,Easy
What is a brute force attack? (Q1144),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Explain the concept of recursion. (Q1145),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a variable in programming? (Q1146),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What are data types in programming? (Q1147),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is overfitting in machine learning? (Q1148),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is artificial intelligence? (Q1149),AI is the simulation of human intelligence processes by machines.,General,Easy
Explain the concept of recursion. (Q1150),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is the use of CSS? (Q1151),CSS is used to style and layout web pages.,General,Easy
What is a neural network? (Q1152),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is the use of CSS? (Q1153),CSS is used to style and layout web pages.,General,Easy
What is two-factor authentication? (Q1154),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is overfitting in machine learning? (Q1155),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What are data types in programming? (Q1156),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Difference between supervised and unsupervised learning? (Q1157),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is two-factor authentication? (Q1158),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is HTML? (Q1159),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a primary key in a database? (Q1160),A primary key uniquely identifies each record in a table.,General,Easy
What is JavaScript used for? (Q1161),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is object-oriented programming? (Q1162),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
Define a firewall. (Q1163),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a neural network? (Q1164),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is two-factor authentication? (Q1165),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is SQL used for? (Q1166),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is the difference between SQL and NoSQL? (Q1167),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is HTML? (Q1168),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Difference between frontend and backend? (Q1169),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Difference between frontend and backend? (Q1170),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is the use of CSS? (Q1171),CSS is used to style and layout web pages.,General,Easy
Explain normalization in databases. (Q1172),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is machine learning? (Q1173),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is phishing? (Q1174),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Define a firewall. (Q1175),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is overfitting in machine learning? (Q1176),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is artificial intelligence? (Q1177),AI is the simulation of human intelligence processes by machines.,General,Easy
What is a primary key in a database? (Q1178),A primary key uniquely identifies each record in a table.,General,Easy
What is a variable in programming? (Q1179),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a web framework? (Q1180),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a web framework? (Q1181),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Difference between frontend and backend? (Q1182),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Difference between supervised and unsupervised learning? (Q1183),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a foreign key? (Q1184),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
Explain the concept of encryption. (Q1185),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is artificial intelligence? (Q1186),AI is the simulation of human intelligence processes by machines.,General,Easy
What is overfitting in machine learning? (Q1187),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the use of CSS? (Q1188),CSS is used to style and layout web pages.,General,Easy
What is machine learning? (Q1189),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is the use of CSS? (Q1190),CSS is used to style and layout web pages.,General,Easy
What is machine learning? (Q1191),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is overfitting in machine learning? (Q1192),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Difference between frontend and backend? (Q1193),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is a variable in programming? (Q1194),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a neural network? (Q1195),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Difference between frontend and backend? (Q1196),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is the use of CSS? (Q1197),CSS is used to style and layout web pages.,General,Easy
What is object-oriented programming? (Q1198),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a primary key in a database? (Q1199),A primary key uniquely identifies each record in a table.,General,Easy
What is a neural network? (Q1200),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain the concept of recursion. (Q1201),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is artificial intelligence? (Q1202),AI is the simulation of human intelligence processes by machines.,General,Easy
What are data types in programming? (Q1203),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is HTML? (Q1204),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is two-factor authentication? (Q1205),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Explain normalization in databases. (Q1206),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a web framework? (Q1207),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a brute force attack? (Q1208),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is machine learning? (Q1209),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is JavaScript used for? (Q1210),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the difference between a compiler and an interpreter? (Q1211),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a primary key in a database? (Q1212),A primary key uniquely identifies each record in a table.,General,Easy
What is the use of CSS? (Q1213),CSS is used to style and layout web pages.,General,Easy
What is HTML? (Q1214),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a web framework? (Q1215),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a web framework? (Q1216),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is HTML? (Q1217),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is two-factor authentication? (Q1218),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is the difference between a compiler and an interpreter? (Q1219),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is phishing? (Q1220),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is overfitting in machine learning? (Q1221),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a web framework? (Q1222),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is the difference between a compiler and an interpreter? (Q1223),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a neural network? (Q1224),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is SQL used for? (Q1225),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is artificial intelligence? (Q1226),AI is the simulation of human intelligence processes by machines.,General,Easy
What is overfitting in machine learning? (Q1227),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Explain the concept of encryption. (Q1228),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Difference between supervised and unsupervised learning? (Q1229),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is overfitting in machine learning? (Q1230),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Difference between supervised and unsupervised learning? (Q1231),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a neural network? (Q1232),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Define a firewall. (Q1233),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a foreign key? (Q1234),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a foreign key? (Q1235),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a web framework? (Q1236),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is HTML? (Q1237),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is the difference between SQL and NoSQL? (Q1238),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a primary key in a database? (Q1239),A primary key uniquely identifies each record in a table.,General,Easy
What is a primary key in a database? (Q1240),A primary key uniquely identifies each record in a table.,General,Easy
What is a foreign key? (Q1241),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a web framework? (Q1242),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a foreign key? (Q1243),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is HTML? (Q1244),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is machine learning? (Q1245),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Explain normalization in databases. (Q1246),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Difference between frontend and backend? (Q1247),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is SQL used for? (Q1248),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a variable in programming? (Q1249),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a primary key in a database? (Q1250),A primary key uniquely identifies each record in a table.,General,Easy
Difference between frontend and backend? (Q1251),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is object-oriented programming? (Q1252),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a variable in programming? (Q1253),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is phishing? (Q1254),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Explain the concept of recursion. (Q1255),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a neural network? (Q1256),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is the difference between SQL and NoSQL? (Q1257),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
Difference between supervised and unsupervised learning? (Q1258),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Explain polymorphism in OOP. (Q1259),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is machine learning? (Q1260),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a web framework? (Q1261),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Difference between supervised and unsupervised learning? (Q1262),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is artificial intelligence? (Q1263),AI is the simulation of human intelligence processes by machines.,General,Easy
What is HTML? (Q1264),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is artificial intelligence? (Q1265),AI is the simulation of human intelligence processes by machines.,General,Easy
What is the difference between a compiler and an interpreter? (Q1266),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a brute force attack? (Q1267),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Explain the concept of encryption. (Q1268),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is the difference between SQL and NoSQL? (Q1269),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is machine learning? (Q1270),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Define a firewall. (Q1271),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is machine learning? (Q1272),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a brute force attack? (Q1273),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is a web framework? (Q1274),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a variable in programming? (Q1275),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a foreign key? (Q1276),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is the difference between SQL and NoSQL? (Q1277),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is two-factor authentication? (Q1278),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is a neural network? (Q1279),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a foreign key? (Q1280),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is machine learning? (Q1281),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Difference between frontend and backend? (Q1282),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Explain the concept of recursion. (Q1283),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain the concept of encryption. (Q1284),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is a primary key in a database? (Q1285),A primary key uniquely identifies each record in a table.,General,Easy
What is two-factor authentication? (Q1286),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Explain the concept of encryption. (Q1287),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Difference between frontend and backend? (Q1288),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is JavaScript used for? (Q1289),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is machine learning? (Q1290),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is overfitting in machine learning? (Q1291),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is the difference between a compiler and an interpreter? (Q1292),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a primary key in a database? (Q1293),A primary key uniquely identifies each record in a table.,General,Easy
What is a variable in programming? (Q1294),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
Explain the concept of recursion. (Q1295),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain the concept of encryption. (Q1296),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is object-oriented programming? (Q1297),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a neural network? (Q1298),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain the concept of recursion. (Q1299),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is the difference between SQL and NoSQL? (Q1300),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
Explain polymorphism in OOP. (Q1301),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is two-factor authentication? (Q1302),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is the use of CSS? (Q1303),CSS is used to style and layout web pages.,General,Easy
What is JavaScript used for? (Q1304),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the difference between SQL and NoSQL? (Q1305),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a brute force attack? (Q1306),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Define a firewall. (Q1307),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is overfitting in machine learning? (Q1308),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is machine learning? (Q1309),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is the difference between a compiler and an interpreter? (Q1310),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is JavaScript used for? (Q1311),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Explain the concept of encryption. (Q1312),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is a primary key in a database? (Q1313),A primary key uniquely identifies each record in a table.,General,Easy
What is JavaScript used for? (Q1314),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Define a firewall. (Q1315),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Difference between supervised and unsupervised learning? (Q1316),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is JavaScript used for? (Q1317),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Difference between frontend and backend? (Q1318),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is object-oriented programming? (Q1319),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a neural network? (Q1320),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
